rms_Voc 1 (real),rms_Voc 2 (real),rms_Guitare (real),beat (real),measure (real),x_Voc 1 (placeholder),y_Voc 1 (placeholder)
349914.2,291252005.824,140798.716,1.0,1.0,0.0,0.0
342894.199,275022980.512,141168.283,2.0,1.0,0.0,0.0
335961.016,279773805.956,141041.72,3.0,2.0,0.0,0.0
421650.833,281932278.279,140963.175,4.0,2.0,0.0,0.0
660329.95,284422801.495,141206.07,1.0,2.0,0.0,0.0
1155276.607,288304918.355,141279.306,2.0,3.0,0.0,0.0
3067273.163,287538222.288,141443.622,3.0,3.0,0.0,0.0
10392765.567,284941810.062,141080.048,4.0,4.0,0.0,0.0
39377265.974,256437090.423,141066.06,1.0,4.0,0.0,0.0
126930842.772,262438706.271,39592479.42,2.0,4.0,0.0,0.0
181449595.554,266238518.224,60601635.934,3.0,5.0,0.0,0.0
209044356.301,261802202.555,73560368.426,4.0,5.0,0.0,0.0
253106829.135,271015203.066,95141184.641,1.0,5.0,0.0,0.0
280236122.188,282287287.394,108358699.729,2.0,6.0,0.0,0.0
235968487.324,279087035.388,90452536.839,3.0,6.0,0.0,0.0
191446454.641,288264219.651,72469304.206,4.0,7.0,0.0,0.0
153812822.424,293029581.549,58002063.889,1.0,7.0,0.0,0.0
123485440.818,303621533.697,46429833.28,2.0,7.0,0.0,0.0
99123749.008,304642819.699,37173067.15,3.0,8.0,0.0,0.0
119599767.451,278990951.559,50305861.074,4.0,8.0,0.0,0.0
187820923.831,275859178.88,76702135.208,1.0,8.0,0.0,0.0
238992376.93,285535592.609,101449743.406,2.0,9.0,0.0,0.0
266327510.547,279687393.297,111501769.779,3.0,9.0,0.0,0.0
288792893.198,276488455.733,122308616.874,4.0,10.0,0.0,0.0
297916447.688,277050717.547,126849186.394,1.0,10.0,0.0,0.0
243805280.296,289310207.312,102595889.758,2.0,10.0,0.0,0.0
197036557.134,295590539.683,82117247.847,3.0,11.0,0.0,0.0
157688796.059,298959431.023,65720796.276,4.0,11.0,0.0,0.0
126212108.109,308261314.103,52604154.621,1.0,11.0,0.0,0.0
101032544.985,283860896.29,42111363.131,2.0,12.0,0.0,0.0
80888760.166,279020012.915,33717172.21,3.0,12.0,0.0,0.0
64774788.749,273492487.047,27002116.931,4.0,13.0,0.0,0.0
51882941.417,277361474.601,21629802.419,1.0,13.0,0.0,0.0
41570654.037,270949715.936,17332966.262,2.0,13.0,0.0,0.0
33320810.259,268735874.693,13894900.14,3.0,14.0,0.0,0.0
26720375.54,274322977.551,11144373.853,4.0,14.0,0.0,0.0
21440069.993,278679945.537,8944250.047,1.0,14.0,0.0,0.0
17215453.164,276427702.615,7183799.241,2.0,15.0,0.0,0.0
13835797.174,273100446.801,5775576.757,3.0,15.0,0.0,0.0
11131865.022,287887555.018,4649004.223,4.0,16.0,0.0,0.0
