time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
230.0,26976119.209,231912322.21,298424805.423,151146.226,218958338.016,310394437.465,295144991.919,Pre,1,1,,
230.1,21587161.807,232015025.584,299514614.98,151494.227,215842179.577,306462410.399,340590969.453,Pre,1,1,,
230.2,17276233.82,232231592.775,297799999.73,150661.645,215720733.292,300254373.361,378366673.991,Pre,1,1,,
230.3,29162544.641,228422876.555,302784022.232,150676.859,212310364.653,302834144.406,392245160.524,Pre,2,1,,
230.4,23336708.599,228545341.251,300833375.987,149771.809,211219336.329,312431840.849,356112591.429,Pre,2,1,,
230.5,18675829.193,235221632.435,299276806.457,149530.799,215771211.89,313070854.464,309990607.518,Pre,2,1,,
230.6,26332371.778,244667940.498,296409380.434,149742.096,217337669.816,314372549.518,336805356.056,Pre,3,1,,
230.7,21072476.237,246985185.999,297411194.806,150113.905,213287687.759,324080789.399,335942163.326,Pre,3,1,,
230.8,16864639.265,245165075.945,293925179.352,150360.201,212331949.143,323540178.748,291832703.974,Pre,3,1,,
230.9,13498384.299,250809263.596,297349478.584,150394.346,209156688.228,327482187.387,255766967.679,Pre,3,1,,
231.0,26140188.93,255370864.412,293868448.942,150547.362,208910442.962,329692428.169,322225923.649,Pre,4,1,,
231.1,20918595.347,250392866.776,289554813.241,150530.927,212148206.613,327992898.436,295504839.312,Pre,4,1,,
231.2,16741481.685,251411510.632,285283213.678,150025.011,213127709.887,327031661.322,274908077.899,Pre,4,1,,
231.3,28734821.229,244480715.82,277956309.332,150381.926,216323802.324,329136180.007,338191465.708,Pre,1,2,,
231.4,22994249.595,249050614.917,268112219.446,149542.497,217602727.406,337752624.686,339775873.974,Pre,1,2,,
231.5,18401933.929,248626586.98,268728840.703,149716.937,216220646.596,325626590.404,329099313.206,Pre,1,2,,
231.6,30062879.883,250231582.893,270027055.332,149332.937,210621635.107,320828769.702,363694599.252,Pre,2,2,,
231.7,24056844.118,254356343.566,234168065.566,149176.686,215640982.031,323680818.993,371012475.678,Pre,2,2,,
231.8,19252003.582,255801053.138,194202148.049,148981.871,215364628.687,317346569.382,359001831.601,Pre,2,2,,
231.9,15408287.418,261138635.603,161010982.532,149743.237,214850398.455,316958177.747,356202780.093,Pre,3,2,,
232.0,23718588.98,275706354.17,141870901.309,150693.063,213810400.376,319718219.238,386180641.379,Chorus_,3,2,,
232.1,18981387.526,276471640.373,137535101.895,626418.195,218635099.323,326762830.243,335613246.587,Chorus_,3,2,,
232.2,15191608.403,287659419.953,139665913.466,23129401.218,206274539.45,296945007.764,284589990.958,Chorus_,3,2,,
232.3,27494659.333,360232338.938,183737494.328,72517896.337,208001280.511,281870959.657,319180410.745,Chorus_,4,2,,
232.4,22002186.765,414909111.696,218306703.086,104592825.716,212176300.843,290602615.672,295932460.101,Chorus_,4,2,,
232.5,17608375.429,448216367.732,239503865.84,124117933.558,212778894.764,300355892.552,261612445.513,Chorus_,4,2,,
232.6,29428236.123,448446057.602,223507725.765,122630211.401,211739653.376,309468464.688,287382632.406,Chorus_,1,3,,
232.7,23549270.536,431016507.953,204791016.212,110114202.627,197743215.799,252977095.383,287901896.846,Chorus_,1,3,,
232.8,18845914.812,399955680.077,177193065.292,93707190.577,194345164.358,226164461.055,266203988.7,Chorus_,1,3,,
232.9,15083369.615,399785724.264,200686585.325,106162363.024,197624256.225,244471373.494,297070480.241,Chorus_,2,3,,
233.0,27408305.881,442409614.171,239527194.54,126849568.987,195913519.191,257514082.135,326135687.493,Chorus_,2,3,,
233.1,21933110.032,488010854.718,266162888.72,149601676.684,197162031.192,268524230.614,296038640.108,Chorus_,2,3,,
233.2,17553031.215,479041131.595,290732375.44,156953976.015,199884355.622,279748048.924,256728258.389,Chorus_,2,3,,
233.3,25434235.541,450312209.839,261950513.71,142966885.129,199157633.244,286962874.594,299145427.422,Chorus_,3,3,,
233.4,20353865.8,406143888.627,222571967.597,122921176.581,185275573.435,265251078.848,264398003.521,Chorus_,3,3,,
233.5,16289855.411,372508295.411,188988583.815,102473363.172,186371406.714,249395909.898,299321037.724,Chorus_,3,3,,
233.6,28373322.572,394721496.071,219289588.586,116519254.416,188224519.555,261272268.481,329361447.214,Chorus_,4,3,,
233.7,22705328.025,429779977.48,254020632.564,138545256.841,190255897.72,275739148.984,313512411.319,Chorus_,4,3,,
233.8,18170903.119,455333542.377,272101565.397,160091211.745,189887650.906,270583497.732,279584450.096,Chorus_,4,3,,
233.9,14543181.794,461228190.337,275362918.181,164607968.732,186515230.929,279004437.106,243910630.377,Chorus_,1,4,,
234.0,26975971.777,438071570.4,242945988.668,149687863.711,186643596.874,281741924.782,287941021.648,Chorus_,1,4,,
234.1,21587188.29,388602078.586,216153830.669,128146514.107,178941622.357,246240780.208,252154358.302,Chorus_,1,4,,
234.2,17276255.007,389235657.839,236901543.673,139310520.567,181868106.158,253234166.07,294412125.88,Chorus_,1,4,,
234.3,29162610.271,411782570.615,264690072.557,155431342.938,181555741.182,266300719.243,319478398.496,Chorus_,2,4,,
234.4,23336562.576,422079870.16,288248954.081,165982106.345,179674327.153,278738025.733,300687699.104,Chorus_,2,4,,
