time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
109.0,27407874.851,40361529.896,272961406.988,139677.09,172574632.748,316637480.673,510696760.79,Pre,1,1,-0.01,0.95
109.1,21932834.133,53179686.711,238837642.104,139653.26,175740547.104,308236712.027,505950573.273,Pre,1,1,-0.01,0.95
109.2,17552741.665,67698622.704,198603445.266,140425.379,175283651.097,305750127.82,509784183.036,Pre,1,1,-0.01,0.95
109.3,25433872.502,99092039.648,168316492.505,140713.107,177865099.403,307944971.038,519672582.716,Pre,2,1,-0.01,0.95
109.4,20353584.383,117795283.591,160302605.649,141056.954,182146655.103,314545619.627,452963745.912,Chorus,2,1,-0.01,0.949
109.5,16289428.533,121406829.762,136392747.548,1158377.697,179274400.285,305726942.561,380143095.486,Chorus,2,1,-0.037,0.893
109.6,28372886.861,205001356.84,177580413.489,51590621.813,175660289.841,275159855.639,386067796.206,Chorus,3,1,-0.112,1.305
109.7,22705005.687,276005384.276,211762771.951,88252455.467,179048031.39,282152631.721,359756257.387,Chorus,3,1,-0.166,2.552
109.8,18170715.276,328463165.55,238078555.738,115188589.567,181726073.186,294394989.058,315951857.749,Chorus,3,1,-0.174,2.8
109.9,14543291.65,357758195.768,236101618.788,124247523.781,179520072.908,305116548.738,273950430.303,Chorus,3,1,-0.171,2.752
110.0,26976102.573,345921339.217,223528331.491,114241439.216,171849411.211,279362120.701,312795842.381,Chorus,4,1,-0.168,2.713
110.1,21587484.517,317038567.446,209254066.519,98502407.485,153792951.32,223598236.711,270792904.394,Chorus,4,1,-0.154,2.435
110.2,17276631.246,300445067.115,197133879.326,94119697.644,161914028.221,235715618.674,306919349.192,Chorus,4,1,0.295,1.217
110.3,29162625.683,351964618.039,241144983.413,120674350.707,161993784.849,251491095.2,330440605.988,Chorus,1,2,1.976,0.71
110.4,23336667.507,391507467.647,269526468.836,136780329.547,164565986.789,261575430.508,304892450.43,Chorus,1,2,2.432,0.353
110.5,18675898.0,413251422.928,294525604.493,151391829.808,167913017.905,274183509.37,266156627.721,Chorus,1,2,2.416,0.159
110.6,26332561.398,405492505.86,289721660.489,144470726.031,168185780.953,283496181.577,288154529.332,Chorus,2,2,2.417,0.229
110.7,21072595.284,363826981.843,246516486.77,126422701.615,161177777.946,277974032.848,292586560.281,Chorus,2,2,2.426,0.2
110.8,16864613.46,316727790.343,208272676.374,106243961.755,153373313.75,247027733.584,273565559.33,Chorus,2,2,1.538,0.334
110.9,13498233.957,304124119.179,215815261.087,111343799.924,158910759.192,256882251.986,304281800.016,Chorus,3,2,-0.633,0.546
111.0,26140057.521,348770928.218,253231486.409,133246379.891,162910869.562,268592880.71,334131806.016,Chorus,3,2,-2.145,0.423
111.1,20918674.974,381108255.604,276322047.92,155139618.06,165791586.845,273058616.449,301414061.466,Chorus,3,2,-2.32,0.235
111.2,16741539.487,402941548.579,288182761.974,164137397.015,163866584.194,278053882.954,263189217.402,Chorus,3,2,-2.215,0.267
111.3,28734781.018,389861721.462,266070924.164,155025042.035,166161870.448,284710538.609,305160459.274,Chorus,4,2,-2.243,0.258
111.4,22994391.776,345805877.941,248332242.332,134693474.555,162600227.598,260680562.977,269091106.15,Chorus,4,2,-2.068,0.283
111.5,18401972.719,326443558.49,250408304.324,124756731.704,164048283.07,254915300.16,300779205.803,Chorus,4,2,-1.029,0.359
111.6,30063117.172,360172088.22,278512430.1,140391777.02,166092865.327,264476175.828,344967721.621,Chorus,1,3,-0.087,-0.748
111.7,24056962.077,383174010.42,301937987.978,155888037.799,164749867.956,274272256.104,325665576.372,Chorus,1,3,0.014,-2.113
111.8,19252133.656,388250303.746,305673423.954,156921647.218,165761130.226,288438786.46,288281958.511,Chorus,1,3,0.013,-2.266
111.9,15408365.2,357853556.159,292200511.511,143601408.652,169506979.59,294512686.925,250778086.369,Chorus,2,3,0.01,-2.12
112.0,23718523.877,308433140.747,256013845.51,122415064.108,174459144.846,298635031.638,302111792.48,Chorus,2,3,0.008,-1.822
112.1,18981236.043,256570516.571,218420843.518,101216725.671,182705342.454,310116407.914,265317806.739,Chorus,2,3,0.009,-0.216
112.2,15191493.209,212716341.025,239999260.936,82595031.981,169318745.207,282551434.903,303907592.28,Chorus,2,3,0.006,0.553
112.3,27494812.78,175381626.814,256588727.476,66843802.3,173141121.031,271139680.397,335821546.175,Chorus,3,3,-0.001,0.862
112.4,22002375.527,145190732.505,276476482.085,53834656.874,176916504.99,282057101.894,309076863.325,Chorus,3,3,-0.008,0.952
112.5,17608389.806,119997137.568,289262650.859,43274745.843,179319550.71,293470649.214,272260243.883,Chorus,3,3,-0.008,0.952
112.6,29427961.706,99190919.855,286140538.062,34719479.47,175569406.973,308703177.218,292461878.226,Chorus,4,3,-0.008,0.952
112.7,23548876.733,81672984.302,293735594.925,27830712.231,154183650.725,289797117.583,291177151.905,Chorus,4,3,-0.008,0.952
112.8,18845674.277,67221345.402,301050475.406,22296362.862,150301873.561,265131015.734,267194904.594,Chorus,4,3,-0.008,0.952
112.9,15083194.771,55112259.675,311016940.538,17863458.706,157997386.604,269312968.351,299625806.495,Chorus,1,4,-0.009,0.952
113.0,27408114.831,44929429.948,321453489.092,14316414.327,158710764.024,280342432.458,329747751.138,Chorus,1,4,-0.009,0.952
113.1,21933164.751,36697386.977,305204650.318,11479410.76,160311656.957,290211193.836,298490626.613,Chorus,1,4,-0.009,0.952
113.2,17553122.448,29905014.303,304791407.247,9209654.861,163183710.304,297470130.458,260219127.821,Chorus,1,4,-0.009,0.952
113.3,25434357.075,24530745.538,306183933.345,7394437.67,166985498.408,295891104.866,312525838.772,Chorus,2,4,-0.009,0.952
113.4,20354043.717,20081484.969,310766914.553,5943810.808,175385775.841,289817842.593,332431339.474,Chorus,2,4,-0.009,0.952
113.5,16289763.262,16549704.849,313955623.92,4782119.402,180202519.311,290400311.502,361447509.106,Chorus,2,4,-0.009,0.952
113.6,28373144.322,13658240.806,321733097.532,3853504.649,178983819.386,293666807.976,398200618.138,Chorus,3,4,-0.009,0.952
113.7,22705079.452,11394135.274,327605957.111,3110930.286,179795375.904,287508325.076,408894906.594,Chorus,3,4,-0.009,0.952
113.8,18170585.879,9540654.214,333037125.926,2517293.983,179061435.584,285573268.911,408144199.311,Chorus,3,4,-0.009,0.952
113.9,14543059.351,8003368.119,335184309.504,2043140.605,179743776.284,291122847.752,414185937.577,Chorus,3,4,-0.009,0.951
114.0,26975777.522,6765432.399,330366548.386,1663786.471,180074583.759,295066319.655,442211664.147,Chorus,4,4,-0.009,0.951
114.1,21587355.925,5735619.618,327146339.422,1360068.631,175686151.842,297407060.74,458650898.606,Chorus,4,4,-0.008,0.951
114.2,17276507.817,4952909.242,322715979.721,1117026.441,175904128.559,302393244.4,459832420.599,Chorus,4,4,-0.008,0.951
114.3,29162660.876,4339436.936,318148267.997,922964.776,175408993.349,303299206.219,484741236.743,Chorus,1,5,-0.008,0.951
114.4,23336539.569,3698177.121,317151966.825,767743.565,180483423.063,300081178.927,477703141.905,Chorus,1,5,-0.008,0.951
