time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
129.0,27407985.03,319124.8,305049044.056,142847.158,184432879.933,269059534.091,290737400.1,Verse,1,1,-0.014777500420769543,0.5816531237767102
129.1,21932957.951,319730.689,299388002.893,142717.383,186663011.275,278522069.304,269045586.959,Verse,1,1,-0.0842895789574788,0.9383172338651715
129.2,17553009.993,319578.909,294562732.074,142649.706,193543333.087,296358204.792,234667407.666,Verse,1,1,-0.2688964885028656,1.2655730734393074
129.3,25434231.167,320895.263,299714053.616,142637.917,189835656.998,279034595.748,323872959.609,Verse,2,1,-0.4287007987717979,1.5833620989244162
129.4,20353963.748,321368.275,297337808.19,141766.233,197658174.799,273163234.678,325565443.92,Verse,2,1,-0.5167523255696997,1.7493240346154026
129.5,16289660.383,321343.218,276595606.048,141684.345,193644875.937,278146089.351,311039431.066,Verse,2,1,-0.5448470086174335,1.769006059310201
129.6,28373144.9,321570.69,286263588.201,142024.187,188476272.548,269529704.633,343962308.114,Verse,3,1,-0.5186434583083464,1.731699110716508
129.7,22704941.962,324022.188,288187045.425,142789.813,187308068.652,268180763.746,360071590.39,Verse,3,1,-0.4630807777464151,1.696106912596746
129.8,18170457.944,323242.521,290655410.718,143287.546,184463741.218,273828085.023,345962421.226,Verse,3,1,-0.415665568818921,1.6592815815723314
129.9,14542954.046,323115.194,296334499.88,143718.612,179533460.146,276569554.241,339556609.306,Verse,3,1,-0.383200730701303,1.6243027111317028
130.0,26976106.098,321643.3,296901079.033,143402.72,176199527.129,268603378.521,354095535.429,Verse,4,1,-0.3272529186800574,1.555993505805761
130.1,21587469.612,321603.244,290754858.373,143468.193,177897038.798,264206069.225,374422411.696,Verse,4,1,-0.2779198587766828,1.5058071557685206
130.2,17276524.83,321822.788,256223576.514,143712.589,175586440.703,265890612.189,390099139.425,Verse,4,1,-0.23222539859206703,1.4674454467049238
130.3,29162602.9,320744.943,212735007.466,143321.257,172145972.681,263857117.428,424930266.469,Verse,1,2,-0.05244252643136362,1.3451496108405447
130.4,23336625.509,320341.441,175505291.172,142773.386,172778138.42,265635614.891,436698484.285,Verse,1,2,0.07049246493238503,1.2664602573851063
130.5,18675804.782,320099.562,144573835.405,142679.368,173116915.636,256131044.006,421497758.147,Verse,1,2,0.1319815274162825,1.2525907509809553
130.6,26332505.299,321769.427,117305270.948,142708.654,172794786.859,237607185.021,427662550.784,Verse,2,2,0.2064667587917863,1.3574377562444973
130.7,21072568.233,321651.102,94660723.597,143298.05,173757266.98,260393615.871,416863678.288,Break_Bridge,2,2,0.20029802743462202,1.4865753205475707
130.8,16864582.874,322881.249,76175422.295,143424.369,185606760.195,279152643.432,353562300.12,Break_Bridge,2,2,0.07301449567195983,1.6084527548972194
130.9,13498113.525,322335.855,61479359.94,143427.027,190840285.473,301341861.438,295666798.229,Break_Bridge,3,2,-0.2044942470615838,1.7434586163626002
131.0,26139962.921,320001.791,49440789.467,142387.303,190616944.242,320436853.377,255916010.807,Break_Bridge,3,2,-0.43315361246756845,2.0491946073866667
131.1,20918387.279,318887.07,39844709.739,142314.188,186659917.14,337569274.828,218846512.881,Break_Bridge,3,2,-0.6188122506614537,2.2812433502202776
131.2,16741132.833,317657.386,32104379.13,141629.036,185254152.269,353389962.619,186247945.591,Break_Bridge,3,2,-0.7541479285726772,2.3852461152714706
